retrieved csv successfully!
Size of the data list: 125748
max_out_degree: 499
max_in_degree: 499
key: 69408, value_count: 1
key: 56675, value_count: 1
key: 14938, value_count: 1
key: 123266, value_count: 1
key: 89634, value_count: 1
key: 20996, value_count: 1
key: 65197, value_count: 1
key: 105009, value_count: 1
key: 20615, value_count: 1
key: 19529, value_count: 1
key: 118477, value_count: 1
key: 94964, value_count: 1
key: 24622, value_count: 1
key: 29488, value_count: 1
key: 92320, value_count: 1
key: 113356, value_count: 1
key: 96214, value_count: 1
key: 117425, value_count: 1
key: 23458, value_count: 1
key: 18763, value_count: 1
key: 28277, value_count: 1
key: 112424, value_count: 1
key: 114830, value_count: 1
key: 18557, value_count: 1
key: 950, value_count: 1
key: 116818, value_count: 1
key: 117846, value_count: 1
key: 21356, value_count: 1
key: 21738, value_count: 1
key: 14269, value_count: 1
key: 39029, value_count: 1
key: 29103, value_count: 1
key: 46206, value_count: 1
key: 81908, value_count: 1
key: 46530, value_count: 1
key: 92618, value_count: 1
key: 44593, value_count: 1
key: 71301, value_count: 1
key: 92418, value_count: 1
key: 27449, value_count: 1
key: 60815, value_count: 1
key: 75770, value_count: 1
key: 94625, value_count: 1
key: 6798, value_count: 1
key: 38165, value_count: 1
key: 122851, value_count: 1
key: 53600, value_count: 1
key: 91125, value_count: 1
key: 38477, value_count: 1
key: 102056, value_count: 1
key: 47498, value_count: 1
key: 78126, value_count: 1
key: 102609, value_count: 1
key: 95105, value_count: 1
key: 117947, value_count: 1
key: 65355, value_count: 1
key: 42860, value_count: 1
key: 50958, value_count: 1
key: 61765, value_count: 1
key: 73852, value_count: 1
key: 82970, value_count: 1
key: 27234, value_count: 1
key: 35768, value_count: 1
key: 41390, value_count: 1
key: 5926, value_count: 1
key: 19850, value_count: 1
key: 28466, value_count: 1
key: 84552, value_count: 1
key: 116033, value_count: 1
key: 108858, value_count: 1
key: 70363, value_count: 1
key: 56852, value_count: 1
key: 103479, value_count: 1
key: 104880, value_count: 1
key: 50416, value_count: 1
key: 79367, value_count: 1
key: 98263, value_count: 1
key: 8507, value_count: 1
key: 60949, value_count: 1
key: 64247, value_count: 1
key: 94258, value_count: 1
key: 112802, value_count: 1
key: 110607, value_count: 1
key: 12040, value_count: 1
key: 65038, value_count: 1
key: 17073, value_count: 1
key: 55169, value_count: 1
key: 6702, value_count: 1
key: 110796, value_count: 1
key: 120095, value_count: 1
key: 71510, value_count: 1
key: 2423, value_count: 1
key: 95170, value_count: 1
key: 90651, value_count: 1
key: 119217, value_count: 1
key: 93826, value_count: 1
key: 24959, value_count: 1
key: 111992, value_count: 1
key: 44693, value_count: 1
key: 43668, value_count: 1
key: 92, value_count: 1
key: 78698, value_count: 1
key: 118554, value_count: 1
key: 71187, value_count: 1
key: 15694, value_count: 1
key: 86299, value_count: 1
key: 102859, value_count: 1
key: 103214, value_count: 1
